ФИО;Дата рождения;Телефон рабочий;Кабинет;email;Глава подразделения;Должность;Подразделение
Белоусов Семен Агафонович;25.04.1971;+7 (179) 370-26-88;402А;белоусов@гкдр.ру;false;Административный директор-руководитель аппарата;1.1. Административный департамент
Матвеев Вадим Юрьевич;20.06.1989;+7 (711) 977-16-52;402А;матвеев@гкдр.ру;false;Руководитель контрольно-ревизионного направления;1.1. Административный департамент
Ермакова Юнона Руслановна;14.04.1979;+7 (210) 088-64-36;482;ермакова@гкдр.ру;false;Начальник отдела;1.2. Договорной отдел
Евсеева Генриетта Дмитриевна;18.05.1967;+7 (904) 027-35-92;482;евсеева@гкдр.ру;false;Старший специалист;1.2. Договорной отдел
Шарапова Дария Андреевна;21.08.1971;+7 (212) 625-28-08;482;шарапова@гкдр.ру;false;Старший специалист;1.2. Договорной отдел
Кузьмина Галина Максовна;15.01.1969;+7 (370) 519-03-10;479;кузьмина@гкдр.ру;false;Начальник отдела;1.3. Общий отдел
Гурьева Янина Тимофеевна;29.12.1964;+7 (401) 189-86-51;479;гурьева@гкдр.ру;false;Руководитель проекта;1.3. Общий отдел
Большакова Снежана Тарасовна;23.05.1984;+7 (223) 503-67-44;479;большакова@гкдр.ру;false;Специалист;1.3. Общий отдел
Миронова Диша Митрофановна;15.12.1977;+7 (084) 252-77-53;479;миронова@гкдр.ру;false;Старший специалист;1.3. Общий отдел
Жданова Виоланта Иосифовна;13.05.1996;+7 (900) 353-41-72;479;жданова@гкдр.ру;false;Старший специалист;1.3. Общий отдел
Колесников Анатолий Владленович;26.02.1990;+7 (438) 363-52-14;482;колесников@гкдр.ру;false;Начальник отдела;1.4. Отдел закупок
Мухин Флор Иванович;31.10.1975;+7 (487) 123-91-17;482;мухин@гкдр.ру;false;Старший специалист;1.4. Отдел закупок
Воронова Устинья Митрофановна;07.08.1999;+7 (708) 393-49-39;483;воронова@гкдр.ру;false;Менеджер проектов;1.5. Отдел протокольного сопровождения
Ковалёва Муза Тарасовна;26.01.1964;+7 (624) 457-34-25;483;ковалёва@гкдр.ру;false;Начальник отдела;1.5. Отдел протокольного сопровождения
Крылов Флор Максович;07.10.1996;+7 (902) 340-55-48;483;крылов@гкдр.ру;false;Начальник отдела;1.6.1. Отдел ИТ
Зимин Илья Серапионович;02.05.1971;+7 (565) 435-79-80;483;зимин@гкдр.ру;false;Старший специалист;1.6.1. Отдел ИТ
Зайцев Парамон Феликсович;15.10.1984;+7 (454) 252-05-25;525;зайцев@гкдр.ру;false;Ведущий специалист;1.6.2. Управление административно-хозяйственной деятельности
Маслов Модест Дамирович;27.04.1968;+7 (664) 602-03-71;525;маслов@гкдр.ру;false;Водитель;1.6.2. Управление административно-хозяйственной деятельности
Исаков Велорий Витальевич;26.06.1960;+7 (098) 359-34-95;525;исаков@гкдр.ру;false;Водитель;1.6.2. Управление административно-хозяйственной деятельности
Шашков Донат Владленович;08.01.1980;+7 (051) 523-43-73;525;шашков@гкдр.ру;false;Водитель;1.6.2. Управление административно-хозяйственной деятельности
Тарасов Эрнест Якунович;22.06.1988;+7 (131) 790-43-24;525;тарасов@гкдр.ру;false;Курьер;1.6.2. Управление административно-хозяйственной деятельности
Зимин Лев Евсеевич;25.09.1998;+7 (609) 728-78-87;525;зимин@гкдр.ру;false;Начальник управления;1.6.2. Управление административно-хозяйственной деятельности
Суханов Эрнест Петрович;23.04.1966;+7 (342) 350-52-75;525;суханов@гкдр.ру;false;Руководитель проектов;1.6.2. Управление административно-хозяйственной деятельности
Харитонов Любомир Андреевич;29.05.2001;+7 (933) 010-23-01;525;харитонов@гкдр.ру;false;Специалист;1.6.2. Управление административно-хозяйственной деятельности
Евдокимов Павел Пётрович;20.01.1997;+7 (676) 507-65-30;525;евдокимов@гкдр.ру;false;Специалист по складской работе;1.6.2. Управление административно-хозяйственной деятельности
Кулагин Аввакум Альбертович;25.04.1983;+7 (091) 411-45-67;489;кулагин@гкдр.ру;false;Начальник управления;1.7. Управление безопасности
Рогов Май Филатович;06.04.1967;+7 (046) 142-05-62;489;рогов@гкдр.ру;false;Специалист;1.7. Управление безопасности
Фролов Мартин Константинович;07.08.2002;+7 (604) 952-64-10;527;фролов@гкдр.ру;false;Начальник управления;1.8. Управление по обеспечению безопасности
Копылов Власий Валентинович;03.07.2000;+7 (710) 970-74-65;527;копылов@гкдр.ру;false;Руководитель направления;1.8. Управление по обеспечению безопасности
Воронцов Мстислав Лаврентьевич;08.04.1968;+7 (154) 776-83-19;527;воронцов@гкдр.ру;false;Руководитель направления;1.8. Управление по обеспечению безопасности
Стрелков Аркадий Никитевич;02.06.1990;+7 (938) 736-81-71;527;стрелков@гкдр.ру;false;Руководитель направления;1.8. Управление по обеспечению безопасности
